genres,movie_id,budget,title,popularity,release_date,revenue,ROI,Director
Animation,862,30000000,Toy Story,21.946943,10/30/1995,373554033.0,1145.18011,John Lasseter
Comedy,862,30000000,Toy Story,21.946943,10/30/1995,373554033.0,1145.18011,John Lasseter
Family,862,30000000,Toy Story,21.946943,10/30/1995,373554033.0,1145.18011,John Lasseter
Adventure,8844,65000000,Jumanji,17.015539,12/15/1995,262797249.0,304.30346,Joe Johnston
Fantasy,8844,65000000,Jumanji,17.015539,12/15/1995,262797249.0,304.30346,Joe Johnston
Family,8844,65000000,Jumanji,17.015539,12/15/1995,262797249.0,304.30346,Joe Johnston
Comedy,31357,16000000,Waiting to Exhale,3.859495,12/22/1995,81452156.0,409.075975,Forest Whitaker
Drama,31357,16000000,Waiting to Exhale,3.859495,12/22/1995,81452156.0,409.075975,Forest Whitaker
Romance,31357,16000000,Waiting to Exhale,3.859495,12/22/1995,81452156.0,409.075975,Forest Whitaker
Action,949,60000000,Heat,17.924927,12/15/1995,187436818.0,212.39469666666668,Michael Mann
Crime,949,60000000,Heat,17.924927,12/15/1995,187436818.0,212.39469666666668,Michael Mann
Drama,949,60000000,Heat,17.924927,12/15/1995,187436818.0,212.39469666666668,Michael Mann
Thriller,949,60000000,Heat,17.924927,12/15/1995,187436818.0,212.39469666666668,Michael Mann
Action,9091,35000000,Sudden Death,5.23158,12/22/1995,64350171.0,83.85763142857144,Peter Hyams
Adventure,9091,35000000,Sudden Death,5.23158,12/22/1995,64350171.0,83.85763142857144,Peter Hyams
Thriller,9091,35000000,Sudden Death,5.23158,12/22/1995,64350171.0,83.85763142857144,Peter Hyams
Adventure,710,58000000,GoldenEye,14.686036,11/16/1995,352194034.0,507.2310931034483,Martin Campbell
Action,710,58000000,GoldenEye,14.686036,11/16/1995,352194034.0,507.2310931034483,Martin Campbell
Thriller,710,58000000,GoldenEye,14.686036,11/16/1995,352194034.0,507.2310931034483,Martin Campbell
Comedy,9087,62000000,The American President,6.318445,11/17/1995,107879496.0,73.9991870967742,Rob Reiner
Drama,9087,62000000,The American President,6.318445,11/17/1995,107879496.0,73.9991870967742,Rob Reiner
Romance,9087,62000000,The American President,6.318445,11/17/1995,107879496.0,73.9991870967742,Rob Reiner
History,10858,44000000,Nixon,5.092,12/22/1995,13681765.0,-68.90507954545456,Oliver Stone
Drama,10858,44000000,Nixon,5.092,12/22/1995,13681765.0,-68.90507954545456,Oliver Stone
Action,1408,98000000,Cutthroat Island,7.284477,12/22/1995,10017322.0,-89.77824285714286,Renny Harlin
Adventure,1408,98000000,Cutthroat Island,7.284477,12/22/1995,10017322.0,-89.77824285714286,Renny Harlin
Drama,524,52000000,Casino,10.137389,11/22/1995,116112375.0,123.29302884615385,Martin Scorsese
Crime,524,52000000,Casino,10.137389,11/22/1995,116112375.0,123.29302884615385,Martin Scorsese
Drama,4584,16500000,Sense and Sensibility,10.673167,12/13/1995,135000000.0,718.1818181818181,Ang Lee
Romance,4584,16500000,Sense and Sensibility,10.673167,12/13/1995,135000000.0,718.1818181818181,Ang Lee
Crime,5,4000000,Four Rooms,9.026586,12/9/1995,4300000.0,7.5,Allison Anders
Comedy,5,4000000,Four Rooms,9.026586,12/9/1995,4300000.0,7.5,Allison Anders
Crime,9273,30000000,Ace Ventura: When Nature Calls,8.205448,11/10/1995,212385533.0,607.9517766666667,Steve Oedekerk
Comedy,9273,30000000,Ace Ventura: When Nature Calls,8.205448,11/10/1995,212385533.0,607.9517766666667,Steve Oedekerk
Adventure,9273,30000000,Ace Ventura: When Nature Calls,8.205448,11/10/1995,212385533.0,607.9517766666667,Steve Oedekerk
Action,11517,60000000,Money Train,7.337906,11/21/1995,35431113.0,-40.948145000000004,Joseph Ruben
Comedy,11517,60000000,Money Train,7.337906,11/21/1995,35431113.0,-40.948145000000004,Joseph Ruben
Crime,11517,60000000,Money Train,7.337906,11/21/1995,35431113.0,-40.948145000000004,Joseph Ruben
